run_id,domain,arm,model,seed,utility,outcome,success,influenced,memory_version,update_directive,evidence_state,unauthorizedAttempts,unauthorizedEscapes,tested_sha,dataset_sha
tool-10,tool,A3_IRRELEVANT_MEMORY,deterministic-local,10,0.95,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-10,tool,A4_STALE_OR_CONTRADICTORY,deterministic-local,10,0.0,NEUTRAL,False,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-10,tool,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,10,0.92,SUCCESS,True,True,cc076072-8f5d-4a00-ad53-52285406fae5,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-10,handoff,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,10,0.9,SUCCESS,True,True,53020be0-9017-4f46-8bb3-5751168aedd0,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-10,handoff,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,10,0.92,SUCCESS,True,True,b35914a5-db0f-4124-9da2-3ba1b7d668ef,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-11,tool,A0_NO_MEMORY,deterministic-local,11,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-11,tool,A1_RAW_HISTORY,deterministic-local,11,0.85,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-11,tool,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,11,0.9,SUCCESS,True,True,7e192ba6-0c41-4be8-a73b-a78053d0f502,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-11,tool,A3_IRRELEVANT_MEMORY,deterministic-local,11,0.95,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-11,tool,A4_STALE_OR_CONTRADICTORY,deterministic-local,11,0.0,NEUTRAL,False,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-11,tool,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,11,0.92,SUCCESS,True,True,bc299099-062a-4e78-b468-3aed5f501c23,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-11,handoff,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,11,0.9,SUCCESS,True,True,457b2b82-d143-4f66-89eb-a21415fbc88f,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-11,handoff,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,11,0.92,SUCCESS,True,True,c9396848-a4b2-4bd6-9c97-79b684331169,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-12,tool,A0_NO_MEMORY,deterministic-local,12,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-12,tool,A1_RAW_HISTORY,deterministic-local,12,0.85,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-12,tool,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,12,0.9,SUCCESS,True,True,859187f0-0e34-4713-998a-acebf59b5b9f,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-12,tool,A3_IRRELEVANT_MEMORY,deterministic-local,12,0.95,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
